inventory_id,manufacturer,product_name,model,catalog_number,udi_di,lot_number,serial_number,quantity,location
SYN-2001,"Smith & Nephew, Inc.",JOURNEY BCS Knee CoCr Femoral Component,Journey BCS,74021210,,LOT-A100,,2,Orthopedic OR - Cabinet A
SYN-2002,Smith and Nephew,Journey BCS knee CoCr femoral component,JOURNEY-BCS,74021211,,LOT-B220,,1,Orthopedic OR - Cabinet B
SYN-2003,"Smith & Nephew, Inc.",JOURNEY BCS Knee CoCr Femoral Component,Journey BCS,74021-212,,LOT-C330,,1,Orthopedic OR - Review Shelf
SYN-2004,"Smith & Nephew, Inc.",Journey BCS Knee CoCr Femoral Component,Journey BCS,,,,,1,Orthopedic OR - Unlabeled Bin
SYN-2005,"Smith & Nephew, Inc.",Journey BCS Knee CoCr Femoral Component,Journey BCS,74021999,,LOT-D440,,1,Orthopedic OR - Cabinet C
SYN-2006,Other Orthopedic Manufacturer,Journey BCS Knee CoCr Femoral Component,Journey BCS,74021210,,LOT-E550,,1,Orthopedic OR - Cabinet D
SYN-2007,Medtronic Inc.,HeartWare Ventricular Assist System,HVAD,1100,,M1001,SN-M1001,1,Cardiac Device Storage
SYN-2008,Abbott Laboratories,HeartMate 3 Left Ventricular Assist System,HeartMate 3,106524,,A2002,SN-A2002,1,Cardiac Device Storage
SYN-2009,Baxter Healthcare,Spectrum IQ Infusion Pump,Spectrum IQ,SIGMA-800,,B3003,SN-B3003,4,Infusion Equipment Room
SYN-2010,Stryker Corporation,LIFEPAK 15 Monitor/Defibrillator,LIFEPAK 15,3302130,,S4004,SN-S4004,1,Emergency Department
SYN-2011,"Smith & Nephew, Inc.",JOURNEY BCS Knee CoCr Femoral Component,Journey BCS,,,,,1,Orthopedic OR - Manual Review Shelf
SYN-2012,Smith & Nephew,Journey BCS femoral component,Journey BCS,74021215,,LOT-F610,,1,Orthopedic OR - Cabinet E
SYN-2013,"Smith & Nephew, Inc.",JOURNEY BCS Knee CoCr Femoral Component,Journey BCS,74021218,,LOT-G720,,2,Orthopedic OR - Cabinet F
SYN-2014,Smith & Nephew,JOURNEY BCS Knee CoCr Femoral Component,Journey BCS,74021998,,LOT-H830,,1,Orthopedic OR - Cabinet G
SYN-2015,"Smith & Nephew, Inc.",Journey BCS femoral component,Journey BCS,,,LOT-I940,,1,Orthopedic OR - Manual Review Shelf
SYN-2016,Medtronic,Guardian Sensor 4 Glucose Monitoring Sensor,Guardian 4,MMT-7020,,M2101,SN-M2101,6,Endocrinology Supply Room
SYN-2017,Abbott Laboratories,Alinity i System,Alinity i,03P9201,,A3102,SN-A3102,1,Laboratory - Analyzer Room
SYN-2018,Baxter Healthcare Corporation,SIGMA Spectrum Infusion Pump,Spectrum,35700BAX2,,B4203,SN-B4203,3,Infusion Equipment Room
SYN-2019,Stryker Corporation,Neptune 3 Rover Mobile Waste Management System,Neptune 3,0700-030-000,,S5304,SN-S5304,1,Surgical Services Storage
SYN-2020,Philips,IntelliVue Patient Monitor,MX750,,P6405,SN-P6405,4,ICU Equipment Bay
SYN-2021,GE HealthCare,CARESCAPE B650 Patient Monitor,B650,B650-01,,G7506,SN-G7506,2,ICU Equipment Bay
SYN-2022,B. Braun,Infusomat Space Infusion Pump,Infusomat Space,8713030,,BR8607,SN-BR8607,5,Infusion Equipment Room
SYN-2023,Dräger,Evita V600 Ventilator,Evita V600,8413900,,DR9708,SN-DR9708,2,Respiratory Therapy Storage
SYN-2024,Boston Scientific,WATCHMAN FLX Left Atrial Appendage Closure Device,WATCHMAN FLX,W-MX-001,,BS10809,SN-BS10809,3,Cardiac Procedure Storage
SYN-2025,BD,Alaris PC Unit Infusion Pump,Alaris PC,8015,,BD11910,SN-BD11910,4,Infusion Equipment Room
